interevention,neighbors
add. countertransference,"[('Prom. emotional awareness', 45), ('Supporting', 43), ('Acknowledging', 33), ('Teaching (explaining, informing, instructing)', 29), ('heightening empathy', 20)]"
examining parallel processes,"[('Supporting', 5), ('Teaching (explaining, informing, instructing)', 5), ('Self-disclosing & self-involving disclosures', 3), ('Process comments', 3), ('Providing positive feedback', 3)]"
immediacy,"[('Self-disclosing & self-involving disclosures', 12), ('Supporting', 9), ('Teaching (explaining, informing, instructing)', 6), ('Managing\\ Planning', 5), ('Acknowledging', 5)]"
Other,"[('Supporting', 33), ('Acknowledging', 25), ('add. countertransference', 16), ('Prom. emotional awareness', 15), ('Teaching (explaining, informing, instructing)', 14)]"
add.multicultural issues,"[('Teaching (explaining, informing, instructing)', 16), ('Being multiculturally responsive', 13), ('Supporting', 12), ('Acknowledging', 10), ('Summarizing', 9)]"
Goal-setting (s) for supervisee,"[('Teaching (explaining, informing, instructing)', 12), ('Supporting', 12), ('Acknowledging', 7), ('Prom. emotional awareness', 6), ('Gathering information', 6)]"
Guided experiential learning,"[('Supporting', 11), ('Acknowledging', 7), ('Teaching (explaining, informing, instructing)', 5), ('Challenging', 3), ('Prom. emotional awareness', 3)]"
mentalizition,"[('Self-disclosing & self-involving disclosures', 30), ('Supporting', 18), ('Teaching (explaining, informing, instructing)', 14), ('heightening empathy', 10), ('Gathering information', 7)]"
Checking knowledge,"[('Supporting', 22), ('Acknowledging', 15), ('heightening empathy', 14), ('Teaching (explaining, informing, instructing)', 12), ('Gathering information', 11)]"
personal share,"[('Self-disclosing & self-involving disclosures', 12), ('Teaching (explaining, informing, instructing)', 8), ('Supporting', 7), ('mentalizition', 6), ('Addressing ethical issues', 4)]"
addressing ethical issues,"[('Addressing ethical issues', 17), ('Supporting', 14), ('Teaching (explaining, informing, instructing)', 9), ('Acknowledging', 7), ('heightening empathy', 7)]"
Promoting self-assessment,"[('Acknowledging', 21), ('Supporting', 20), ('Teaching (explaining, informing, instructing)', 15), ('Gathering information', 13), ('Prom. emotional awareness', 12)]"
heightening empathy,"[('Supporting', 58), ('Teaching (explaining, informing, instructing)', 49), ('Acknowledging', 48), ('Prom. emotional awareness', 22), ('Summarizing', 22)]"
Process comments,"[('Supporting', 15), ('Teaching (explaining, informing, instructing)', 8), ('add. Supervisory dyad', 8), ('Prom. emotional awareness', 8), ('Acknowledging', 6)]"
video observation,"[('Supporting', 16), ('Acknowledging', 10), ('Managing\\ Planning', 10), ('Teaching (explaining, informing, instructing)', 8), ('heightening empathy', 8)]"
add. Supervisory dyad,"[('Supporting', 11), ('Process comments', 8), ('Prom. emotional awareness', 7), ('add. countertransference', 6), ('Other', 6)]"
Gathering information,"[('Supporting', 50), ('Acknowledging', 43), ('Summarizing', 31), ('Teaching (explaining, informing, instructing)', 19), ('heightening empathy', 19)]"
Being multiculturally responsive,"[('Supporting', 20), ('Acknowledging', 14), ('add.multicultural issues', 13), ('Teaching (explaining, informing, instructing)', 10), ('Summarizing', 7)]"
Providing negative feedback,"[('Supporting', 3), ('Teaching (explaining, informing, instructing)', 3), ('Acknowledging', 2), ('Providing positive feedback', 2), ('Challenging', 2)]"
Summarizing,"[('Supporting', 54), ('Teaching (explaining, informing, instructing)', 41), ('Acknowledging', 39), ('Gathering information', 31), ('heightening empathy', 22)]"
Self-disclosing & self-involving disclosures,"[('Supporting', 30), ('mentalizition', 30), ('Teaching (explaining, informing, instructing)', 27), ('Summarizing', 15), ('Acknowledging', 14)]"
Goal-setting (c) for client,"[('Supporting', 12), ('Teaching (explaining, informing, instructing)', 7), ('heightening empathy', 6), ('Acknowledging', 6), ('Gathering information', 5)]"
Addressing ethical issues,"[('addressing ethical issues', 17), ('Supporting', 14), ('Teaching (explaining, informing, instructing)', 10), ('Acknowledging', 8), ('heightening empathy', 8)]"
Challenging,"[('Supporting', 19), ('Teaching (explaining, informing, instructing)', 16), ('Prom. emotional awareness', 11), ('Acknowledging', 11), ('heightening empathy', 9)]"
Prom. emotional awareness,"[('Supporting', 54), ('add. countertransference', 45), ('Acknowledging', 41), ('Teaching (explaining, informing, instructing)', 41), ('heightening empathy', 22)]"
promo. scientific thinking,"[('Supporting', 11), ('Acknowledging', 7), ('Gathering information', 5), ('Providing positive feedback', 5), ('addressing ethical issues', 5)]"
Providing positive feedback,"[('Supporting', 31), ('Teaching (explaining, informing, instructing)', 29), ('Acknowledging', 28), ('Prom. emotional awareness', 12), ('heightening empathy', 9)]"
Acknowledging,"[('Supporting', 132), ('Teaching (explaining, informing, instructing)', 62), ('heightening empathy', 48), ('Gathering information', 43), ('Prom. emotional awareness', 41)]"
Managing\ Planning,"[('Supporting', 55), ('Acknowledging', 38), ('Teaching (explaining, informing, instructing)', 33), ('Summarizing', 20), ('Gathering information', 18)]"
Supporting,"[('Acknowledging', 132), ('Teaching (explaining, informing, instructing)', 95), ('heightening empathy', 58), ('Managing\\ Planning', 55), ('Summarizing', 54)]"
"Teaching (explaining, informing, instructing)","[('Supporting', 95), ('Acknowledging', 62), ('heightening empathy', 49), ('Summarizing', 41), ('Prom. emotional awareness', 41)]"
